Day,Sample_Volume,Equipment_Downtime_Percent,Repeat_Error_Rate_Percent,Manual_Processing_Hours,Staff_Available,Equipment_Utilisation_Percent,Turnaround_Time_Hours
1,129,7.2,2.0,2.1,7,73.5,5.6
2,91,4.7,2.5,2.3,6,61.6,5.7
3,141,10.0,3.4,2.9,6,84.3,8.4
4,146,2.1,1.3,4.8,8,82.6,6.7
5,65,2.4,0.8,1.7,7,47.7,4.4
6,84,3.1,2.2,1.5,8,70.1,3.7
7,124,0.5,1.0,3.3,8,73.5,5.5
8,111,5.8,1.9,1.5,6,64.5,4.6
9,120,4.8,3.9,2.5,8,81.3,5.3
10,96,5.7,1.5,3.1,8,70.2,4.3
11,145,9.8,4.0,3.1,5,74.6,6.2
12,142,5.5,0.7,1.6,10,90.0,5.8
13,122,4.3,4.2,2.5,6,80.2,5.7
14,152,6.2,4.7,4.3,4,86.5,7.9
15,133,8.6,3.7,3.2,5,91.0,6.7
16,96,2.8,3.1,1.9,5,69.9,4.7
17,130,3.5,3.1,2.3,7,76.8,6.8
18,93,5.5,0.7,1.7,7,61.3,5.4
19,145,6.8,3.1,3.3,6,86.6,6.1
20,119,0.5,2.9,3.1,8,76.0,4.9
21,115,1.6,1.6,2.9,8,71.6,4.1
22,101,6.5,0.5,2.3,8,61.8,5.0
23,154,6.5,3.0,2.3,8,84.1,6.6
24,116,2.6,0.5,1.6,8,71.3,3.6
25,108,3.2,4.6,3.1,3,65.1,6.5
26,110,3.2,1.9,1.7,6,61.7,4.4
27,135,7.5,3.0,3.1,3,86.5,8.6
28,130,0.5,1.9,2.9,7,58.8,5.6
29,132,3.2,0.5,2.1,7,79.0,5.5
30,132,4.9,1.0,1.9,9,72.3,3.5
31,180,7.1,5.2,3.3,9,99.2,8.1
32,109,5.1,4.5,2.6,7,67.2,7.0
33,106,2.0,3.1,3.0,6,75.4,6.2
34,97,4.2,1.6,2.3,8,63.3,3.5
35,137,7.7,3.0,3.0,6,80.9,6.6
36,152,7.2,2.5,2.7,7,88.8,6.0
37,117,4.2,3.6,1.6,9,67.9,5.8
38,96,4.4,1.5,1.9,6,74.8,4.8
39,97,1.2,3.6,2.2,8,59.1,3.9
40,138,5.1,4.4,2.9,8,80.5,6.4
41,141,16.6,1.8,2.0,5,88.8,5.8
42,135,5.1,1.6,2.1,9,81.1,4.5
43,101,3.3,1.3,2.7,8,80.7,4.6
44,127,3.1,2.5,2.7,7,70.8,6.0
45,123,4.1,2.2,1.9,6,66.2,4.0
46,126,3.4,6.8,4.2,5,70.8,7.2
47,144,7.0,2.5,3.1,6,86.8,7.6
48,126,6.2,2.9,2.7,8,78.3,4.9
49,139,16.2,5.0,3.3,5,82.4,8.7
50,122,6.8,2.3,2.2,8,65.7,5.3
51,128,7.8,3.2,2.5,5,83.8,7.8
52,138,2.1,2.6,4.0,7,70.8,6.1
53,79,2.1,1.8,2.3,7,69.8,3.8
54,111,5.8,2.2,2.3,11,87.3,5.2
55,107,3.6,2.9,2.8,5,74.7,4.8
56,102,1.6,1.2,1.3,10,69.7,3.5
57,112,2.9,3.9,3.1,7,68.1,5.3
58,162,3.4,4.2,2.7,8,72.9,6.5
59,96,1.8,1.7,2.2,7,62.6,4.8
60,147,3.8,1.3,2.0,8,73.4,5.7
61,73,5.6,0.5,1.0,7,49.8,3.5
62,111,5.7,1.5,2.2,10,80.4,4.6
63,125,10.5,3.1,2.3,6,78.4,7.5
64,136,5.5,1.4,1.5,9,79.5,4.4
65,140,4.4,2.6,3.3,6,78.8,6.6
66,142,5.1,2.8,4.1,7,79.4,6.7
67,110,5.7,1.4,3.3,5,79.8,5.9
68,107,4.9,1.5,2.0,8,68.9,3.5
69,144,10.0,1.5,2.6,10,81.9,6.9
70,115,2.4,1.5,2.9,7,71.1,4.5
71,84,5.0,1.6,2.5,7,60.8,5.0
72,88,3.5,0.5,2.0,5,56.6,3.8
73,94,0.5,1.8,2.1,7,52.4,3.6
74,134,6.8,4.5,3.3,4,79.4,8.3
75,124,7.7,2.8,3.1,5,77.6,7.3
76,139,2.3,2.5,2.8,7,70.7,5.8
77,108,3.9,2.1,2.0,9,68.2,4.8
78,124,0.5,1.1,2.8,12,70.6,3.6
79,138,0.8,2.7,3.6,6,65.3,6.1
80,111,5.5,2.9,2.3,10,61.9,4.2
81,133,4.3,4.4,3.7,7,80.8,7.3
82,101,1.8,2.1,2.0,7,71.0,3.9
83,110,3.7,3.4,3.1,8,61.9,6.2
84,109,3.1,0.5,2.6,7,71.8,4.4
85,87,3.2,4.1,3.7,7,71.3,5.3
86,134,7.3,3.3,2.2,6,84.6,7.0
87,107,1.8,3.2,2.3,4,72.4,5.5
88,120,2.5,3.5,3.1,4,73.7,6.1
89,133,4.7,2.9,2.9,8,72.5,5.7
90,133,7.5,3.5,3.8,7,81.2,7.5
91,139,8.2,3.6,2.6,6,82.1,6.5
92,117,11.1,2.7,3.0,7,77.5,6.3
93,108,6.2,3.2,2.8,8,70.3,5.3
94,118,3.4,1.0,2.9,7,79.1,5.7
95,73,7.2,0.9,1.3,6,61.6,3.8
96,79,1.1,3.4,2.3,9,65.2,4.9
97,83,6.6,0.9,2.2,10,66.0,3.5
98,92,1.6,1.3,2.2,8,59.0,3.6
99,131,7.7,1.8,2.6,9,62.6,5.3
100,95,6.0,1.8,2.0,9,75.3,3.5
101,109,1.9,0.7,2.0,9,70.5,3.5
102,156,3.1,3.4,3.4,8,71.8,6.1
103,110,5.3,2.8,2.2,8,65.0,5.7
104,141,8.0,2.1,2.3,8,84.7,6.1
105,94,3.5,2.5,1.7,5,66.2,4.4
106,114,3.9,2.5,1.9,8,67.6,5.5
107,93,6.6,3.4,2.4,5,77.7,6.6
108,111,3.8,2.4,2.5,6,65.0,6.1
109,144,1.7,6.0,2.8,9,73.6,5.6
110,72,1.2,2.1,1.7,9,59.1,3.5
111,132,5.4,2.4,2.0,10,77.3,6.2
112,127,7.8,2.5,3.5,7,79.6,6.6
113,103,8.5,2.3,2.3,5,77.3,5.6
114,80,5.1,2.8,1.6,7,63.4,4.6
115,122,5.6,4.5,2.8,7,78.0,6.9
116,105,5.5,2.8,1.2,7,67.7,4.3
117,127,3.1,2.7,2.0,9,74.5,5.0
118,121,4.4,1.8,3.2,6,76.1,6.4
119,165,4.3,3.6,2.3,8,88.0,5.9
120,113,2.4,1.6,3.2,5,79.3,5.7
121,91,4.6,0.5,2.7,8,68.2,3.5
122,125,5.1,2.8,2.4,7,75.8,5.0
123,126,5.7,3.5,2.9,6,71.1,5.9
124,158,7.0,5.2,3.8,7,85.9,8.3
125,143,5.8,3.6,2.7,7,80.7,6.3
126,130,6.2,3.7,3.2,7,78.4,6.1
127,161,7.2,2.1,2.5,10,98.7,6.5
128,87,4.0,1.3,1.7,7,60.4,3.5
129,102,2.7,0.5,1.8,7,71.6,4.3
130,94,5.8,0.7,2.7,3,77.7,6.2
131,109,5.9,3.7,3.2,5,73.4,6.2
132,81,3.6,0.7,1.7,7,78.7,3.6
133,138,5.1,3.7,2.3,6,77.8,6.6
134,114,3.0,2.5,1.6,9,72.5,3.5
135,79,1.8,0.9,2.0,7,56.1,3.9
136,92,0.7,2.3,2.8,9,61.1,6.0
137,129,7.8,2.4,2.9,7,78.4,6.1
138,143,8.3,1.5,2.7,7,86.8,6.4
139,176,7.8,4.9,3.9,7,93.0,9.1
140,200,21.2,5.6,3.8,7,100.0,11.9
141,132,9.7,2.0,2.2,10,73.9,6.0
142,92,10.5,4.5,2.0,3,67.3,4.9
143,60,4.6,1.1,2.7,3,78.9,5.0
144,127,5.7,2.4,1.4,6,79.9,7.2
145,97,2.4,0.9,2.5,7,62.1,4.6
146,108,4.3,2.6,1.9,8,64.5,3.9
147,103,5.0,1.8,1.9,8,61.3,4.6
148,116,5.0,3.5,3.5,6,80.4,5.5
149,150,8.9,2.1,2.4,9,78.4,7.0
150,124,5.1,1.2,2.0,9,74.1,4.1
151,116,5.0,3.2,2.4,7,72.4,5.5
152,91,13.0,3.7,2.0,9,68.4,4.6
153,73,3.9,1.7,1.4,7,54.0,3.5
154,106,3.1,0.6,1.5,6,63.3,5.2
155,118,3.2,2.1,1.9,8,74.0,4.8
156,170,4.9,7.0,4.1,7,93.2,8.3
157,124,10.8,3.1,2.6,7,77.5,5.7
158,148,3.9,4.3,2.9,10,73.7,4.8
159,106,1.8,1.8,2.6,3,78.5,4.8
160,87,1.7,1.8,1.9,4,61.9,4.5
161,93,3.4,3.2,3.2,5,64.2,6.1
162,100,4.5,2.3,2.2,6,62.4,4.5
163,180,8.6,3.8,3.4,7,100.0,9.4
164,97,6.1,2.0,3.1,4,74.5,5.3
165,143,4.6,4.4,2.8,5,87.1,7.0
166,95,5.6,3.2,2.0,5,77.2,4.6
167,146,5.2,4.0,2.5,11,97.5,6.7
168,131,1.9,3.8,2.4,10,62.3,6.3
169,116,1.9,2.6,2.7,6,68.6,4.1
170,119,1.5,2.9,3.8,6,70.4,5.6
171,102,5.9,3.8,2.6,5,64.6,6.6
172,132,6.0,3.4,1.8,4,73.1,5.4
173,107,6.0,1.2,2.5,7,68.0,5.3
174,86,3.1,0.9,2.2,5,57.3,5.1
175,84,5.3,2.1,1.9,7,65.5,4.3
176,125,1.2,2.9,3.1,4,78.9,6.6
177,164,8.4,4.3,3.4,6,91.6,9.3
178,124,5.5,3.7,2.6,7,78.8,7.3
179,117,6.2,3.2,2.7,8,76.3,5.6
180,128,5.2,3.7,2.2,8,72.8,5.3
181,157,5.2,1.9,2.9,5,100.0,6.7
182,126,1.4,3.4,4.1,9,75.4,6.3
183,108,1.4,2.5,2.0,6,58.4,3.9
184,151,5.9,1.9,3.0,8,75.3,6.1
185,132,5.1,1.7,1.9,7,65.4,5.3
186,163,3.2,3.4,3.6,5,89.0,7.3
187,125,12.6,3.0,2.2,6,75.6,6.8
188,86,1.4,2.7,1.5,8,59.5,5.3
189,82,3.9,3.7,2.3,8,75.7,4.4
190,166,3.5,3.3,3.6,7,91.6,7.1
191,168,3.2,4.1,3.3,10,90.5,7.5
192,115,1.6,1.6,1.2,9,64.0,4.0
193,109,3.6,3.1,3.3,7,63.7,6.4
194,161,3.2,3.5,2.5,8,85.6,6.6
195,89,3.1,1.8,2.4,10,62.9,3.5
196,95,5.3,3.0,2.2,11,49.5,3.5
197,138,2.4,4.6,3.4,5,80.1,5.9
198,109,4.0,1.1,2.1,5,72.8,3.8
199,120,6.3,2.8,2.2,10,69.5,5.1
200,115,3.0,3.3,2.4,5,68.8,4.7
201,129,7.9,3.7,2.9,5,74.9,7.7
202,159,8.4,5.2,3.2,6,85.5,8.1
203,123,3.9,1.8,1.3,8,74.5,4.4
204,138,8.0,3.9,3.5,7,83.6,6.6
205,63,10.0,2.0,1.6,6,65.5,4.7
206,119,3.6,0.5,2.4,6,72.6,4.5
207,96,4.6,1.6,1.9,6,64.6,3.9
